Date : 2025-06-03 20:25:28
Directory : c:\Users\Aqua\Programming\Quantum
Total : 358 files,  188851 codes, 38731 comments, 43907 blanks, all 271489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\Aqua\Programming\Quantum\src\crystal\storage\preferences\preferences_manager.cr                        | Crystal  |        318 |         65 |         74 |        457 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\storage\storage_manager.cr                                        | Crystal  |        258 |         60 |         62 |        380 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\storage\sync\sync_manager.cr                                      | Crystal  |        604 |        139 |        157 |        900 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\component.cr                                                   | Crystal  |         12 |         18 |          7 |         37 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\address_bar.cr                                      | Crystal  |      1,277 |        234 |        257 |      1,768 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\content_area.cr                                     | Crystal  |      1,119 |        270 |        262 |      1,651 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\context_menu.cr                                     | Crystal  |        450 |         94 |         92 |        636 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\navigation_controls.cr                              | Crystal  |      1,392 |        307 |        298 |      1,997 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\network_status_overlay.cr                           | Crystal  |        252 |         48 |         55 |        355 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\settings_interface.cr                               | Crystal  |        541 |         83 |        119 |        743 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\side_panel.cr                                       | Crystal  |      3,344 |        495 |        629 |      4,468 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\smooth_renderer.cr                                  | Crystal  |        417 |        119 |        131 |        667 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\status_bar.cr                                       | Crystal  |        779 |        124 |        148 |      1,051 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\components\tab_bar.cr                                          | Crystal  |        528 |        132 |        120 |        780 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\layout_engine.cr                                               | Crystal  |      1,382 |        313 |        331 |      2,026 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\manager.cr                                                     | Crystal  |        607 |         96 |        117 |        820 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\screens\bookmarks\bookmarks_view.cr                            | Crystal  |        503 |         54 |         99 |        656 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\screens\history\history_view.cr                                | Crystal  |        294 |         43 |         66 |        403 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\screens\settings\settings_panels\base_panel.cr                 | Crystal  |        359 |         58 |         93 |        510 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\screens\settings\settings_panels\general_panel.cr              | Crystal  |        185 |         13 |         25 |        223 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\screens\settings\settings_view.cr                              | Crystal  |        228 |         38 |         53 |        319 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\ui\theme_engine.cr                                                | Crystal  |        163 |         34 |         30 |        227 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\utils\logger.cr                                                   | Crystal  |         39 |          6 |          6 |         51 |
| c:\Users\Aqua\Programming\Quantum\src\nim\bindings\crystal\binding.nim                                          | Nim      |        347 |        131 |        114 |        592 |
| c:\Users\Aqua\Programming\Quantum\src\nim\bindings\crystal\ipc.nim                                              | Nim      |        257 |         86 |         71 |        414 |
| c:\Users\Aqua\Programming\Quantum\src\nim\bindings\crystal\ui_components.nim                                    | Nim      |        415 |        274 |        130 |        819 |
| c:\Users\Aqua\Programming\Quantum\src\nim\bindings\module.nim                                                   | Nim      |         40 |         33 |         20 |         93 |
| c:\Users\Aqua\Programming\Quantum\src\nim\bindings\zig\binding.nim                                              | Nim      |        305 |        138 |        102 |        545 |
| c:\Users\Aqua\Programming\Quantum\src\nim\bindings\zig\rendering.nim                                            | Nim      |        372 |        214 |        174 |        760 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression.nimble                                                    | Nimble   |          8 |          3 |          5 |         16 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\advanced\parallel_compression.nim                         | Nim      |        343 |         84 |         78 |        505 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\async\async_compression.nim                               | Nim      |      1,014 |        200 |        266 |      1,480 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\brotli.nim                                                | Nim      |      1,060 |        243 |        259 |      1,562 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\brotli\brotli.nim                                         | Nim      |        294 |         79 |        104 |        477 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\brotli\brotli_simd.nim                                    | Nim      |        139 |         37 |         34 |        210 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\cache\compression_cache.nim                               | Nim      |        533 |        105 |        130 |        768 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\common\compression_base.nim                               | Nim      |        372 |        100 |         45 |        517 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\common\optimization.nim                                   | Nim      |        426 |        113 |        111 |        650 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\deflate.nim                                               | Nim      |         27 |         73 |         22 |        122 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\formats\adaptive_compression.nim                          | Nim      |        470 |        117 |        110 |        697 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\formats\hyper_compression.nim                             | Nim      |        538 |        155 |        152 |        845 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\formats\simd_compression.nim                              | Nim      |      1,848 |        393 |        477 |      2,718 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\gzip.nim                                                  | Nim      |         30 |         58 |         22 |        110 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\gzip\gzip.nim                                             | Nim      |        251 |         77 |         93 |        421 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\gzip\gzip_simd.nim                                        | Nim      |        248 |         72 |         70 |        390 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\hpack.nim                                                 | Nim      |        221 |         46 |         59 |        326 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\qpack.nim                                                 | Nim      |        131 |         40 |         41 |        212 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\test_compression.nim                                      | Nim      |        210 |         37 |         63 |        310 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\zstd\zstd.nim                                             | Nim      |        245 |         70 |         92 |        407 |
| c:\Users\Aqua\Programming\Quantum\src\nim\compression\zstd\zstd_simd.nim                                        | Nim      |        173 |         54 |         53 |        280 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\README.md                                                     | Markdown |        116 |          0 |         36 |        152 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\cookie_integrations.nim                                       | Nim      |        544 |         88 |        108 |        740 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\cookie_types.nim                                              | Nim      |        168 |         35 |         35 |        238 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\extensions\cookie_compliance.nim                              | Nim      |        503 |         97 |        110 |        710 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\extensions\cookie_extensions.nim                              | Nim      |        349 |         87 |         94 |        530 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\extensions\cookie_manager_ext.nim                             | Nim      |        351 |         96 |        107 |        554 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\main.nim                                                      | Nim      |        420 |         66 |         76 |        562 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\main_extended.nim                                             | Nim      |        237 |         57 |         52 |        346 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\policy\cookie_policy.nim                                      | Nim      |        248 |         54 |         70 |        372 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\policy\policy_loader.nim                                      | Nim      |        246 |         39 |         46 |        331 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\security\cookie_security.nim                                  | Nim      |        257 |         88 |         85 |        430 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\security\secure_cookie_jar.nim                                | Nim      |        270 |         66 |         85 |        421 |
| c:\Users\Aqua\Programming\Quantum\src\nim\cookies\store\cookie_store.nim                                        | Nim      |        416 |         95 |        101 |        612 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\cache.nim                                               | Nim      |        403 |         79 |         85 |        567 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\compression\compression.nim                             | Nim      |        256 |         55 |         55 |        366 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\disk\disk_cache.nim                                     | Nim      |        500 |        106 |        144 |        750 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\http_cache_manager.nim                                  | Nim      |        408 |        106 |        100 |        614 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\memory.nim                                              | Nim      |        276 |         63 |         87 |        426 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\memory\memory_cache.nim                                 | Nim      |        457 |         92 |        111 |        660 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\policy\cache_policy.nim                                 | Nim      |        394 |        106 |         88 |        588 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\run_all_tests.nim                                       | Nim      |         73 |          7 |         24 |        104 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\tests\cache_integration_test.nim                        | Nim      |        241 |         32 |         49 |        322 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\tests\run_cache_test.nim                                | Nim      |          9 |          1 |          3 |         13 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\cache\tests\test_cache.nim                                    | Nim      |        160 |         27 |         40 |        227 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\README.md                                                 | Markdown |         83 |          0 |         29 |        112 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\cache.nim                                                 | Nim      |        216 |         45 |         53 |        314 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\cache\cache.nim                                           | Nim      |        127 |         32 |         36 |        195 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\cache\entry.nim                                           | Nim      |         85 |         16 |         20 |        121 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\cache\manager.nim                                         | Nim      |        516 |         96 |        111 |        723 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\cache\statistics.nim                                      | Nim      |         42 |          5 |          6 |         53 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\dns.nim                                                   | Nim      |        197 |         37 |         35 |        269 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\message.nim                                               | Nim      |        465 |         86 |        116 |        667 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\packet.nim                                                | Nim      |        320 |        105 |        109 |        534 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\records.nim                                               | Nim      |        346 |         28 |         35 |        409 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\resolver.nim                                              | Nim      |        489 |        112 |        140 |        741 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\resolver\standard.nim                                     | Nim      |        553 |         79 |        116 |        748 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\resolver\tcp.nim                                          | Nim      |        366 |         91 |         94 |        551 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\resolver\udp.nim                                          | Nim      |        246 |         69 |         62 |        377 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\secure\dnssec.nim                                         | Nim      |      2,335 |        567 |        639 |      3,541 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\secure\doh.nim                                            | Nim      |        603 |        103 |        136 |        842 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\secure\dot.nim                                            | Nim      |        637 |        125 |        175 |        937 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\tests\run_cache_test.nim                                  | Nim      |          5 |          0 |          1 |          6 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\tests\run_resolver_test.nim                               | Nim      |          5 |          0 |          1 |          6 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\tests\runall.nim                                          | Nim      |          7 |          0 |          1 |          8 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\tests\test_cache.nim                                      | Nim      |        135 |         13 |         30 |        178 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\dns\tests\test_resolver.nim                                   | Nim      |        102 |         22 |         29 |        153 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\client.nim                                               | Nim      |      1,260 |        205 |        295 |      1,760 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\client\advanced.nim                                      | Nim      |        607 |        106 |        139 |        852 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\client\core.nim                                          | Nim      |        291 |         60 |         80 |        431 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\headers\common.nim                                       | Nim      |        671 |         38 |         65 |        774 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\headers\constants.nim                                    | Nim      |        260 |         19 |         36 |        315 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\headers\parser.nim                                       | Nim      |        363 |         75 |        103 |        541 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\headers\types.nim                                        | Nim      |        954 |        123 |        224 |      1,301 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\methods\common.nim                                       | Nim      |        390 |         32 |         28 |        450 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\methods\constants.nim                                    | Nim      |        211 |         26 |         23 |        260 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\methods\types.nim                                        | Nim      |        159 |         16 |         13 |        188 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\methods\utils.nim                                        | Nim      |        190 |         47 |         38 |        275 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\request.nim                                              | Nim      |        971 |        163 |        229 |      1,363 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\utils.nim                                                | Nim      |      2,885 |        513 |        672 |      4,070 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\versions\negotiator.nim                                  | Nim      |        268 |         62 |         52 |        382 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\versions\parser.nim                                      | Nim      |        131 |         33 |         33 |        197 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\http\versions\types.nim                                       | Nim      |        185 |         21 |         22 |        228 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\main.nim                                                      | Nim      |         57 |          8 |         15 |         80 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\optimization\README.md                                        | Markdown |        236 |          0 |         88 |        324 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\optimization\optimization_manager.nim                         | Nim      |      1,230 |        283 |        270 |      1,783 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\optimization\preconnect\preconnect_manager.nim                | Nim      |        463 |         95 |        111 |        669 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\optimization\prefetch\prefetch_manager.nim                    | Nim      |        492 |         79 |        100 |        671 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\optimization\prioritization\resource_prioritization.nim       | Nim      |        434 |         78 |         94 |        606 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\README.md                                           | Markdown |        194 |          0 |         69 |        263 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\ftp\ftp_client.nim                                  | Nim      |        613 |        192 |        166 |        971 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\ftp\ftp_types.nim                                   | Nim      |        311 |        123 |         83 |        517 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\sse\sse_client.nim                                  | Nim      |        240 |         84 |         61 |        385 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\sse\sse_types.nim                                   | Nim      |         50 |         12 |          8 |         70 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\webrtc\webrtc_client.nim                            | Nim      |        582 |        203 |        163 |        948 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\webrtc\webrtc_types.nim                             | Nim      |         80 |         28 |         15 |        123 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\websocket\websocket_client.nim                      | Nim      |        481 |         81 |        113 |        675 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\websocket\websocket_frame.nim                       | Nim      |        128 |         61 |         41 |        230 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\protocols\websocket\websocket_types.nim                       | Nim      |         24 |         11 |          6 |         41 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\auto_config\proxy_auto_config.nim                       | Nim      |        576 |        111 |        121 |        808 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\auto_config\wpad_client.nim                             | Nim      |        541 |        142 |        153 |        836 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\cache\proxy_cache.nim                                   | Nim      |        464 |         44 |         94 |        602 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\http\http_proxy_client.nim                              | Nim      |        647 |        222 |        176 |      1,045 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\http\http_proxy_types.nim                               | Nim      |         89 |         36 |         22 |        147 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\lb\proxy_load_balancer.nim                              | Nim      |        423 |         77 |         86 |        586 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\monitor\proxy_monitor.nim                               | Nim      |        580 |         70 |        142 |        792 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\proxy_manager.nim                                       | Nim      |        378 |        127 |         98 |        603 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\socks\socks_client.nim                                  | Nim      |        299 |        109 |         81 |        489 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\proxy\socks\socks_types.nim                                   | Nim      |        191 |         41 |         35 |        267 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\security\certificates\cert_transparency.nim                   | Nim      |        919 |        186 |        265 |      1,370 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\security\certificates\certificate_store.nim                   | Nim      |        710 |        154 |        164 |      1,028 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\security\csp\content_security_policy.nim                      | Nim      |        399 |         79 |         93 |        571 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\security\dns\secure_dns.nim                                   | Nim      |        632 |         74 |        143 |        849 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\security\hsts\hsts_manager.nim                                | Nim      |        513 |        106 |        144 |        763 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\security\mixed_content\mixed_content_detector.nim             | Nim      |        239 |         45 |         54 |        338 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\security\security_manager.nim                                 | Nim      |        332 |         72 |        103 |        507 |
| c:\Users\Aqua\Programming\Quantum\src\nim\network\security\tls\tls_config.nim                                   | Nim      |        261 |         36 |         43 |        340 |
| c:\Users\Aqua\Programming\Quantum\src\nim\privacy\blockers\tracker_blocker.nim                                  | Nim      |      1,029 |        185 |        224 |      1,438 |
| c:\Users\Aqua\Programming\Quantum\src\nim\privacy\fingerprinting\css_js_protection.nim                          | Nim      |        571 |         47 |         91 |        709 |
| c:\Users\Aqua\Programming\Quantum\src\nim\privacy\fingerprinting\fingerprint_protector.nim                      | Nim      |        556 |        109 |        122 |        787 |
| c:\Users\Aqua\Programming\Quantum\src\nim\privacy\fingerprinting\gpu_fingerprint_protector.nim                  | Nim      |        576 |         92 |         86 |        754 |
| c:\Users\Aqua\Programming\Quantum\src\nim\privacy\fingerprinting\privacy_manager.nim                            | Nim      |        521 |         63 |        100 |        684 |
| c:\Users\Aqua\Programming\Quantum\src\nim\privacy\fingerprinting\tls_fingerprint_protector.nim                  | Nim      |        585 |        117 |        127 |        829 |
| c:\Users\Aqua\Programming\Quantum\src\nim\privacy\privacy_types.nim                                             | Nim      |        271 |         32 |         26 |        329 |
| c:\Users\Aqua\Programming\Quantum\src\nim\privacy\sanitization\data_sanitizer.nim                               | Nim      |        369 |         95 |         88 |        552 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum.nimble                                                        | Nimble   |        114 |         14 |         19 |        147 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_arch\data\sharding.nim                                        | Nim      |        362 |         81 |        108 |        551 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_arch\ipc\ipc_channel.nim                                      | Nim      |        796 |        157 |        157 |      1,110 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_arch\ipc\ipc_manager.nim                                      | Nim      |      1,012 |        200 |        296 |      1,508 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_arch\memory\memory_pool.nim                                   | Nim      |        326 |         87 |        116 |        529 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_arch\process\process_manager.nim                              | Nim      |        580 |        114 |        142 |        836 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_arch\threading\safe_communication.nim                         | Nim      |        290 |         61 |         76 |        427 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_arch\threading\thread_pool.nim                                | Nim      |        685 |        181 |        176 |      1,042 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\cache\cache_interface.nim                                 | Nim      |        409 |        100 |        116 |        625 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\cache\disk_cache.nim                                      | Nim      |        708 |        139 |        173 |      1,020 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\cache\http3_disk_cache.nim                                | Nim      |        749 |        167 |        196 |      1,112 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\cache\memory_cache.nim                                    | Nim      |        503 |         98 |        132 |        733 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\connection_pool_manager.nim                               | Nim      |        341 |         41 |         86 |        468 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\dns\cache.nim\cache_analytics.nim                         | Nim      |        389 |         65 |         97 |        551 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\dns\cache.nim\dns_cache.nim                               | Nim      |        526 |        129 |        142 |        797 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\dns\cache.nim\dns_prefetcher.nim                          | Nim      |        240 |         53 |         62 |        355 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\dns\resolver.nim                                          | Nim      |      1,518 |        280 |        408 |      2,206 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\http\client.nim\http_client.nim                           | Nim      |      1,418 |        316 |        421 |      2,155 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\http\http1.nim\http1_protocol.nim                         | Nim      |        452 |         67 |        137 |        656 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\http\http2.nim\http2_protocol.nim                         | Nim      |        758 |        143 |        139 |      1,040 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\http\http3_protocol.nim                                   | Nim      |        525 |         88 |        148 |        761 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\optimizer_config.nim                                      | Nim      |        494 |         76 |         74 |        644 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\client.nim                                | Nim      |        548 |        141 |        163 |        852 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\early_data.nim                            | Nim      |      1,524 |        413 |        369 |      2,306 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\errors.nim                                | Nim      |        382 |         51 |         52 |        485 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\frames.nim                                | Nim      |        517 |         66 |        104 |        687 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\http3_client.nim                          | Nim      |      1,268 |        315 |        382 |      1,965 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\http3_datagram.nim                        | Nim      |        414 |         81 |         82 |        577 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\http3_protocol.nim                        | Nim      |        837 |        182 |        215 |      1,234 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\http3_settings.nim                        | Nim      |        769 |        161 |        153 |      1,083 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\http3_stream.nim                          | Nim      |        445 |        104 |        130 |        679 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\qpack_decoder.nim                         | Nim      |        291 |         78 |        118 |        487 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\qpack_encoder.nim                         | Nim      |        356 |         62 |         74 |        492 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\server.nim                                | Nim      |      1,437 |        251 |        273 |      1,961 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3\stream.nim                                | Nim      |        282 |         67 |         82 |        431 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3_client.nim                                | Nim      |        287 |         80 |         86 |        453 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3_settings.nim                              | Nim      |        487 |         60 |         59 |        606 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\http3_stream.nim                                | Nim      |        338 |         70 |         83 |        491 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\crypto_perfect.nim                         | Nim      |        129 |         65 |         46 |        240 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\multipath_quic.nim                         | Nim      |        475 |        124 |        127 |        726 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\quic_client.nim                            | Nim      |      1,695 |        509 |        497 |      2,701 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\quic_congestion_control.nim                | Nim      |        296 |         91 |         97 |        484 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\quic_frame_parser.nim                      | Nim      |        601 |         41 |        149 |        791 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\quic_packet_parser.nim                     | Nim      |        351 |         90 |        117 |        558 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\quic_packet_protection.nim                 | Nim      |        656 |        189 |        216 |      1,061 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\quic_stream.nim                            | Nim      |        395 |         74 |        106 |        575 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\quic\quic_v2_client.nim                         | Nim      |      1,673 |        487 |        474 |      2,634 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\protocols\resource_predictor.nim                          | Nim      |        352 |         92 |         74 |        518 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\security\tls\tls_client.nim                               | Nim      |      2,408 |        467 |        739 |      3,614 |
| c:\Users\Aqua\Programming\Quantum\src\nim\quantum_net\websocket\protocol.nim                                    | Nim      |        469 |         91 |        105 |        665 |
